topo_bm_high,S_creation,net_id,topo_rand_basal,net_type,Int_realised,dyn_rand_basal,C_creation,t_val,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,dyn_bm_high,Int_init,dyn_rand_consumer
0.4807692307692308,52,1,0.2692307692307692,niche,0,0.28846153846153844,0.10465976331360946,50,0.4807692307692308,0.10465976331360946,0.260989010989011,52,0.4807692307692308,0.5,0,0.5
0.45555555555555555,52,1,0.20925925925925926,down_size,25,0.38461538461538464,0.07433431952662722,50,0.45555555555555555,0.09925925925925926,0.2777777777777778,45,0.4807692307692308,0.4423076923076923,25,0.4423076923076923
0.4423076923076923,52,1,0.1417004048582996,niche_down,43,0.15384615384615385,0.07655325443786982,50,0.4807692307692308,0.07655325443786982,0.46153846153846156,52,0.1185897435897436,0.1282051282051282,46,0.13701923076923075
0.5,52,1,0.14837209302325582,atn,7,0.19230769230769232,0.1904585798816568,50,0.5,0.206,0.5,50,0.5,0.5,7,0.5
0.4375,52,1,0.13095238095238096,down,53,0.25,0.07433431952662722,50,0.4583333333333333,0.08723958333333333,0.3333333333333333,48,0.3269230769230769,0.3269230769230769,54,0.34615384615384615
0.46153846153846156,52,2,0.19230769230769232,niche,0,0.19230769230769232,0.09504437869822485,50,0.4807692307692308,0.09504437869822485,0.19452662721893493,52,0.4423076923076923,0.4423076923076923,0,0.4807692307692308
0.28409090909090906,52,2,0.28409090909090906,down_size,17,0.4230769230769231,0.07507396449704141,50,0.45454545454545453,0.10485537190082644,0.4318181818181818,44,0.46153846153846156,0.46153846153846156,13,0.5
0.5,52,2,0.13848039215686275,niche_down,58,0.09890109890109891,0.0617603550295858,50,0.4607843137254902,0.06420607458669743,0.4411764705882353,51,0.11538461538461539,0.15865384615384615,59,0.19230769230769232
0.5,52,2,0.12904761904761905,atn,9,0.19230769230769232,0.21301775147928995,50,0.48,0.2304,0.5,50,0.5,0.5,9,0.5
0.4230769230769231,52,2,0.21923076923076923,down,47,0.25,0.07544378698224852,50,0.46153846153846156,0.07544378698224852,0.38461538461538464,52,0.3269230769230769,0.34615384615384615,45,0.2980769230769231
0.4807692307692308,52,3,0.09615384615384616,niche,0,0.09615384615384616,0.11834319526627218,50,0.4230769230769231,0.11834319526627218,0.10416666666666667,52,0.40384615384615385,0.4230769230769231,0,0.4230769230769231
0.3666666666666667,52,3,0.23055555555555554,down_size,23,0.40384615384615385,0.07433431952662722,50,0.37222222222222223,0.09925925925925926,0.3666666666666667,45,0.4807692307692308,0.46153846153846156,23,0.4807692307692308
0.5,52,3,0.14505494505494507,niche_down,38,0.0995475113122172,0.1227810650887574,50,0.46153846153846156,0.1227810650887574,0.5,52,0.10931174089068826,0.11177884615384616,37,0.11199095022624435
