S_creation,net_id,topo_rand_basal,I_realised,net_type,dyn_degree_high,dyn_rand_basal,C_creation,t_val,I_creation,topo_rand_consumer,C_realised,topo_bm_low,S_realised,dyn_bm_low,topo_degree_high,C_target,dyn_rand_consumer
52,1,0.3977272727272727,0,down_power,0.01282051282051282,0.0125,0.10022189349112426,5000,76,0.25757575757575757,0.10743801652892562,0.34090909090909094,11,0.01282051282051282,0.25,0.1001073140058574,0.01282051282051282
52,1,0.18102134146341464,0,metaweb,0.23076923076923078,0.15384615384615385,0.17492603550295857,5000,18,0.5,0.16775728732897086,0.5,41,0.21153846153846154,0.45121951219512196,0.1001073140058574,0.21153846153846154
52,1,0.22209302325581395,0,niche,0.23076923076923078,0.11538461538461539,0.09800295857988166,5000,0,0.38372093023255816,0.09248242293131423,0.4069767441860465,43,0.21153846153846154,0.36627906976744184,0.1001073140058574,0.25
52,1,0.4,0,down_rand,0.011904761904761906,0.011627906976744186,0.10022189349112426,5000,92,0.2,0.11,0.31666666666666665,10,0.012195121951219513,0.14,0.1001073140058574,0.012195121951219513
52,1,0.44230769230769235,4,down_link,0.012195121951219513,0.0125,0.10022189349112426,5000,104,0.20192307692307693,0.10059171597633136,0.3717948717948718,13,0.012195121951219513,0.16666666666666669,0.1001073140058574,0.01282051282051282
52,1,0.16372549019607843,32,down_niche,0.22596153846153846,0.15384615384615385,0.10022189349112426,5000,38,0.5,0.11160493827160493,0.47777777777777775,45,0.23076923076923078,0.45555555555555555,0.1001073140058574,0.13221153846153846
52,1,0.375,0,atn,0.01282051282051282,0.0125,0.1201923076923077,5000,0,0.375,0.25,0.5,6,0.01282051282051282,0.375,0.1001073140058574,0.0125
52,2,0.5,0,down_power,0.011904761904761906,0.011627906976744186,0.14940828402366865,5000,45,0.1285714285714286,0.13,0.1285714285714286,10,0.011904761904761906,0.1285714285714286,0.14925403648072735,0.011904761904761906
52,2,0.19954954954954957,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,14,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.14925403648072735,0.21153846153846154
52,2,0.14154411764705882,0,niche,0.03365384615384616,0.01785714285714286,0.14829881656804733,5000,0,0.5,0.1484375,0.28125,32,0.07692307692307693,0.3854166666666667,0.14925403648072735,0.07692307692307693
52,2,0.5,0,down_rand,0.011627906976744186,0.011363636363636366,0.14940828402366865,5000,45,0.0625,0.109375,0.2916666666666667,8,0.011627906976744186,0.0625,0.14925403648072735,0.011627906976744186
52,2,0.5,0,down_link,0.011904761904761906,0.011627906976744186,0.14940828402366865,5000,44,0.11666666666666667,0.12,0.11666666666666667,10,0.011904761904761906,0.11666666666666667,0.14925403648072735,0.011904761904761906
52,2,0.19954954954954957,0,down_niche,0.21153846153846154,0.15384615384615385,0.14940828402366865,5000,40,0.5,0.16946676406135866,0.5,37,0.21153846153846154,0.5,0.14925403648072735,0.21153846153846154
52,2,0.2375,0,atn,0.0125,0.012195121951219513,0.13350591715976332,5000,0,0.5,0.21,0.4166666666666667,10,0.0125,0.5,0.14925403648072735,0.0125
52,3,0.29166666666666663,1,down_power,0.01388888888888889,0.013157894736842106,0.10392011834319527,5000,74,0.3666666666666667,0.08888888888888889,0.38333333333333336,15,0.013157894736842106,0.24166666666666667,0.10376914770475962,0.01388888888888889
52,3,0.18170731707317075,0,metaweb,0.21153846153846154,0.15384615384615385,0.17492603550295857,5000,10,0.5,0.1618084473527662,0.5,41,0.21153846153846154,0.5,0.10376914770475962,0.23076923076923078
