net_id,type,scenario,step,primary,secondary,total
6,topo,degree_low,1,0.0,0.0,0.0
6,topo,degree_low,2,0.5,0.5,1.0
6,topo,vul_high,1,0.0,0.0,0.0
6,topo,vul_high,2,0.5,0.5,1.0
6,topo,bm_low,1,0.0,0.0,0.0
6,topo,bm_low,2,0.5,0.5,1.0
7,topo,gen_low,1,0.0,0.0,0.0
7,topo,gen_low,2,0.5,0.5,1.0
7,topo,vul_low,1,0.0,0.0,0.0
7,topo,vul_low,2,0.5,0.5,1.0
7,topo,rand_basal,1,0.0,0.0,0.0
7,topo,rand_basal,2,0.5,0.5,1.0
7,topo,rand_consumer,1,0.0,0.0,0.0
7,topo,rand_consumer,2,0.5,0.5,1.0
7,topo,bm_high,1,0.0,0.0,0.0
7,topo,bm_high,2,0.5,0.5,1.0
7,topo,gen_high,1,0.0,0.0,0.0
7,topo,gen_high,2,0.5,0.5,1.0
7,topo,degree_high,1,0.0,0.0,0.0
7,topo,degree_high,2,0.5,0.5,1.0
7,topo,degree_low,1,0.0,0.0,0.0
7,topo,degree_low,2,0.5,0.5,1.0
7,topo,vul_high,1,0.0,0.0,0.0
7,topo,vul_high,2,0.5,0.5,1.0
7,topo,bm_low,1,0.0,0.0,0.0
7,topo,bm_low,2,0.5,0.5,1.0
8,topo,gen_low,1,0.0,0.0,0.0
8,topo,gen_low,2,0.5,0.5,1.0
8,topo,vul_low,1,0.0,0.0,0.0
8,topo,vul_low,2,0.5,0.5,1.0
8,topo,rand_basal,1,0.0,0.0,0.0
8,topo,rand_basal,2,0.5,0.5,1.0
8,topo,rand_consumer,1,0.0,0.0,0.0
8,topo,rand_consumer,2,0.5,0.5,1.0
8,topo,bm_high,1,0.0,0.0,0.0
8,topo,bm_high,2,0.5,0.5,1.0
8,topo,gen_high,1,0.0,0.0,0.0
8,topo,gen_high,2,0.5,0.5,1.0
8,topo,degree_high,1,0.0,0.0,0.0
8,topo,degree_high,2,0.5,0.5,1.0
8,topo,degree_low,1,0.0,0.0,0.0
8,topo,degree_low,2,0.5,0.5,1.0
8,topo,vul_high,1,0.0,0.0,0.0
8,topo,vul_high,2,0.5,0.5,1.0
8,topo,bm_low,1,0.0,0.0,0.0
8,topo,bm_low,2,0.5,0.5,1.0
9,topo,gen_low,1,0.0,0.0,0.0
9,topo,gen_low,2,0.5,0.5,1.0
9,topo,vul_low,1,0.0,0.0,0.0
9,topo,vul_low,2,0.5,0.5,1.0
9,topo,rand_basal,1,0.0,0.0,0.0
9,topo,rand_basal,2,0.5,0.5,1.0
9,topo,rand_consumer,1,0.0,0.0,0.0
9,topo,rand_consumer,2,0.5,0.5,1.0
9,topo,bm_high,1,0.0,0.0,0.0
9,topo,bm_high,2,0.5,0.5,1.0
9,topo,gen_high,1,0.0,0.0,0.0
9,topo,gen_high,2,0.5,0.5,1.0
9,topo,degree_high,1,0.0,0.0,0.0
9,topo,degree_high,2,0.5,0.5,1.0
9,topo,degree_low,1,0.0,0.0,0.0
9,topo,degree_low,2,0.5,0.5,1.0
9,topo,vul_high,1,0.0,0.0,0.0
9,topo,vul_high,2,0.5,0.5,1.0
9,topo,bm_low,1,0.0,0.0,0.0
9,topo,bm_low,2,0.5,0.5,1.0
10,topo,gen_low,1,0.0,0.0,0.0
10,topo,gen_low,2,0.5,0.5,1.0
10,topo,vul_low,1,0.0,0.0,0.0
10,topo,vul_low,2,0.5,0.5,1.0
10,topo,rand_basal,1,0.0,0.0,0.0
10,topo,rand_basal,2,0.5,0.5,1.0
10,topo,rand_consumer,1,0.0,0.0,0.0
10,topo,rand_consumer,2,0.5,0.5,1.0
10,topo,bm_high,1,0.0,0.0,0.0
10,topo,bm_high,2,0.5,0.5,1.0
10,topo,gen_high,1,0.0,0.0,0.0
