topo_bm_high,net_id,topo_rand_basal,dyn_vul_low,dyn_gen_high,dyn_degree_high,dyn_rand_basal,topo_degree_low,S,dyn_degree_low,topo_vul_low,topo_rand_consumer,topo_gen_low,topo_bm_low,dyn_bm_low,dyn_bm_high,topo_gen_high,dyn_vul_high,dyn_gen_low,topo_degree_high,topo_vul_high,dyn_rand_consumer,C
0.46153846153846156,1,0.5,0.46153846153846156,0.46153846153846156,0.45999999999999996,0.22058823529411764,0.5,30,0.3235294117647059,0.5,0.5,0.5,0.34615384615384615,0.16176470588235295,0.30000000000000004,0.5,0.475,0.14705882352941177,0.5,0.4807692307692308,0.5,0.20291714521610196
0.4464285714285714,2,0.22767857142857142,0.4629629629629629,0.2692307692307692,0.3076923076923077,0.5,0.5,33,0.35185185185185186,0.5,0.4642857142857143,0.5,0.35714285714285715,0.42592592592592593,0.32407407407407407,0.5,0.5,0.2561728395061728,0.5,0.4642857142857143,0.46153846153846156,0.12238581664345208
0.18000000000000002,3,0.3,0.4,0.5,0.5,0.5,0.5,44,0.35,0.5,0.5,0.5,0.45,0.38888888888888884,0.5,0.5,0.38888888888888884,0.375,0.5,0.5,0.5,0.22025509737992222
0.467741935483871,4,0.24193548387096775,0.44,0.3850574712643678,0.25,0.16666666666666666,0.5,48,0.36666666666666664,0.5,0.4032258064516129,0.5,0.4539170506912442,0.12857142857142856,0.21774193548387097,0.5,0.35714285714285715,0.19791666666666669,0.4032258064516129,0.3709677419354839,0.43333333333333335,0.09188326018827245
0.5,5,0.5,0.027777777777777776,0.39705882352941174,0.39215686274509803,0.5,0.5,44,0.2662337662337662,0.5,0.5,0.5,0.35294117647058826,0.335,0.027777777777777776,0.5,0.3787878787878788,0.11538461538461539,0.4411764705882353,0.4117647058823529,0.4004329004329004,0.13791261851136133
0.5,6,0.5,0.42000000000000004,0.41000000000000003,0.45999999999999996,0.1,0.5,29,0.28846153846153844,0.5,0.5,0.5,0.4807692307692308,0.20779220779220778,0.33,0.47115384615384615,0.31,0.13636363636363635,0.5,0.46153846153846156,0.42000000000000004,0.18756067897369288
0.5,7,0.2572463768115942,0.22727272727272727,0.36363636363636365,0.4090909090909091,0.2727272727272727,0.5,23,0.369047619047619,0.5,0.3695652173913043,0.5,0.28043478260869564,0.35,0.38636363636363635,0.31521739130434784,0.45,0.2727272727272727,0.29891304347826086,0.3695652173913043,0.3571428571428571,0.10083021685855542
0.43333333333333335,8,0.15,0.31666666666666665,0.3666666666666667,0.3666666666666667,0.5,0.5,47,0.42307692307692313,0.5,0.43333333333333335,0.5,0.23333333333333334,0.5,0.43333333333333335,0.43333333333333335,0.35714285714285715,0.2692307692307693,0.43333333333333335,0.43333333333333335,0.3666666666666667,0.15215526704660093
0.42307692307692313,9,0.14615384615384616,0.34615384615384615,0.34615384615384615,0.34615384615384615,0.5,0.5,33,0.3333333333333333,0.5,0.5,0.5,0.19230769230769232,0.5,0.34615384615384615,0.5,0.34615384615384615,0.375,0.5,0.42307692307692313,0.4166666666666667,0.1794927252240264
0.5,10,0.26571428571428574,0.22,0.16666666666666666,0.19791666666666669,0.19202898550724637,0.5,33,0.30000000000000004,0.5,0.5,0.5,0.348,0.38,0.26,0.5,0.18,0.2346938775510204,0.5,0.5,0.38,0.14231494217936072
