net_id,type,scenario,step,primary,secondary,total,t_val
1,topo_down_power,rand_basal,1,0.0,0.0,0.0,5000
1,topo_down_power,rand_basal,2,0.07692307692307693,0.0,0.07692307692307693,5000
1,topo_down_power,rand_basal,3,0.15384615384615385,0.0,0.15384615384615385,5000
1,topo_down_power,rand_basal,4,0.23076923076923078,0.0,0.23076923076923078,5000
1,topo_down_power,rand_basal,5,0.3076923076923077,0.07692307692307693,0.38461538461538464,5000
1,topo_down_power,rand_basal,6,0.38461538461538464,0.07692307692307693,0.46153846153846156,5000
1,topo_down_power,rand_basal,7,0.46153846153846156,0.07692307692307687,0.5384615384615384,5000
1,topo_down_power,rand_basal,8,0.5384615384615384,0.07692307692307698,0.6153846153846154,5000
1,topo_down_power,rand_basal,9,0.6153846153846154,0.3846153846153846,1.0,5000
1,topo_down_power,rand_consumer,1,0.0,0.0,0.0,5000
1,topo_down_power,rand_consumer,2,0.07692307692307693,0.07692307692307693,0.15384615384615385,5000
1,topo_down_power,rand_consumer,3,0.15384615384615385,0.07692307692307693,0.23076923076923078,5000
1,topo_down_power,rand_consumer,4,0.23076923076923078,0.15384615384615385,0.38461538461538464,5000
1,topo_down_power,rand_consumer,5,0.3076923076923077,0.3846153846153846,0.6923076923076923,5000
1,topo_down_power,rand_consumer,6,0.38461538461538464,0.6153846153846154,1.0,5000
1,topo_down_power,degree_high,1,0.0,0.0,0.0,5000
1,topo_down_power,degree_high,2,0.07692307692307693,0.07692307692307693,0.15384615384615385,5000
1,topo_down_power,degree_high,3,0.15384615384615385,0.07692307692307693,0.23076923076923078,5000
1,topo_down_power,degree_high,4,0.23076923076923078,0.23076923076923078,0.46153846153846156,5000
1,topo_down_power,degree_high,5,0.3076923076923077,0.46153846153846156,0.7692307692307693,5000
1,topo_down_power,degree_high,6,0.38461538461538464,0.6153846153846154,1.0,5000
1,topo_down_power,bm_low,1,0.0,0.0,0.0,5000
1,topo_down_power,bm_low,2,0.07692307692307693,0.0,0.07692307692307693,5000
1,topo_down_power,bm_low,3,0.15384615384615385,0.0,0.15384615384615385,5000
1,topo_down_power,bm_low,4,0.23076923076923078,0.0,0.23076923076923078,5000
1,topo_down_power,bm_low,5,0.3076923076923077,0.0,0.3076923076923077,5000
1,topo_down_power,bm_low,6,0.38461538461538464,0.0,0.38461538461538464,5000
1,topo_down_power,bm_low,7,0.46153846153846156,0.0,0.46153846153846156,5000
1,topo_down_power,bm_low,8,0.5384615384615384,0.0,0.5384615384615384,5000
1,topo_down_power,bm_low,9,0.6153846153846154,0.07692307692307687,0.6923076923076923,5000
1,topo_down_power,bm_low,10,0.6923076923076923,0.15384615384615385,0.8461538461538461,5000
