net_id,species_id,original_id,body_mass,trophic_level,metabolic_class
1,1,1,323.2506289880685,3.509539378612854,invertebrate
1,2,2,288.63046879798344,3.46034217475602,invertebrate
1,3,3,160.23153052208562,3.204747981063771,invertebrate
1,4,4,1245.3572490596985,4.0952939530698655,invertebrate
1,5,5,42.53626946000559,2.62875939849624,invertebrate
1,6,6,180.6721848321512,3.2568912964251204,invertebrate
1,7,7,10.0,2.0,invertebrate
1,8,8,236.12085629913855,3.3731343495335566,invertebrate
1,9,9,398.79209603784153,3.600746542114123,invertebrate
1,10,10,176.07495143470044,3.2456975772765255,invertebrate
1,11,11,44.13029616837804,2.6447368421052637,invertebrate
1,12,12,51.917169246647,2.7153110047846885,invertebrate
1,13,13,135.56352626674743,3.132142857142857,invertebrate
1,14,14,130.0274626174632,3.114035087719298,invertebrate
1,15,15,10.0,2.0,invertebrate
1,16,16,67.92964030418928,2.832059314954052,invertebrate
1,17,17,51.23732714271489,2.7095864661654128,invertebrate
1,18,18,48.62303966794017,2.6868421052631586,invertebrate
1,19,19,1.0,1.0,producer
1,20,20,10.0,2.0,invertebrate
1,21,21,68.92009456364248,2.8383458646616546,invertebrate
1,22,22,1.0,1.0,producer
1,23,23,31.897702154663182,2.50375939849624,invertebrate
1,24,24,8.858667904100832,1.9473684210526319,invertebrate
1,25,25,18.329807108324374,2.2631578947368425,invertebrate
1,26,26,5.79639395338497,1.7631578947368423,invertebrate
1,27,27,1.0,1.0,producer
1,28,28,3.5696988468260646,1.5526315789473684,invertebrate
1,29,29,1.0,1.0,producer
1,30,30,1.0,1.0,producer
2,1,1,69.63444556644697,2.842824122065522,invertebrate
2,2,2,190.92802071000742,3.2808696703879523,invertebrate
2,3,4,30.371149393104645,2.482461228060417,invertebrate
2,4,6,61.024740215750626,2.7855059392878148,invertebrate
2,5,7,177.9078331040029,3.2501950700566793,invertebrate
2,6,9,41.381508175392796,2.6168063147568517,invertebrate
2,7,10,37.09878402870976,2.56935967516017,invertebrate
2,8,11,47.084679231691325,2.6728796160983816,invertebrate
2,9,12,38.39742538090255,2.5843021050875055,invertebrate
2,10,13,22.178362267336,2.3459294730791855,invertebrate
2,11,14,1.0,1.0,producer
2,12,15,9.801193137445278,1.9912789472708363,invertebrate
2,13,16,1.0,1.0,producer
2,14,17,1.0,1.0,invertebrate
2,15,18,1.0,1.0,producer
2,16,22,31.622776601683793,2.5,invertebrate
2,17,23,31.622776601683793,2.5,invertebrate
2,18,24,3.1622776601683795,1.5,invertebrate
2,19,25,10.0,2.0,invertebrate
2,20,26,1.0,1.0,producer
3,1,1,44.20106080163955,2.645432692307692,invertebrate
3,2,3,191.00648414622395,3.281048110604409,invertebrate
3,3,4,10.0,2.0,invertebrate
3,4,5,81.8363834460287,2.912946428571428,invertebrate
3,5,8,209.77506598091466,3.321753866362644,invertebrate
3,6,9,182.67587076382273,3.2616811861802324,invertebrate
3,7,12,10.0,2.0,invertebrate
3,8,14,1.0,1.0,producer
3,9,15,155.56101772020594,3.191900775750967,invertebrate
3,10,16,16.522191637587536,2.2180676551501928,invertebrate
3,11,17,79.14755439411152,2.8984374999999996,invertebrate
