"species","size","motility","feeding","tiering","time_pre_during_post","respiratory_protein","physiological_buffering"
"Pteria_cf_ussurica","medium","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Pterinopectinella_dumontiana","medium","nonmotile_unattached","herbivore","epifaunal","1","hemoglobin","buffered"
"Schizodus_carnicus","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Schizodus_obscurus","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Schizodus_pinguis","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Sphaera_sp","small","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Streblochondria_filosa","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Stutchburia_costata","medium","nonmotile_attached","herbivore","semi_infaunal","1","hemoglobin","buffered"
"Stutchburia_sp","small","nonmotile_attached","herbivore","semi_infaunal","1","hemoglobin","buffered"
"Stutchburia_tschernyschewi","medium","nonmotile_attached","herbivore","semi_infaunal","1","hemoglobin","buffered"
"Tambanella_stetteneckensis","medium","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Towapteria_peracuta","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Towapteria_scythica","small","nonmotile_attached","herbivore","epifaunal","3","hemoglobin","buffered"
"Unionites_canalensis","small","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Unionites_fassaensis","small","facultative","herbivore","shallow_infaunal","3","hemoglobin","buffered"
"Unionites_jacobi","medium","facultative","herbivore","shallow_infaunal","1","hemoglobin","buffered"
"Vacunella_elongata","medium","facultative","herbivore","deep_infaunal","1","hemoglobin","buffered"
"Volsellina_carinata","small","nonmotile_attached","herbivore","epifaunal","1","hemoglobin","buffered"
"Altadema_kokeni","small","slow_moving","carnivore","epifaunal","3","hemocyanin","buffered"
"Baylea_sequens","small","slow_moving","carnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_cadoricus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_canevai","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_carnicus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_comelicanus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_fallax","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_guembeli","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
"Bellerophon_cf_hiulcus","medium","slow_moving","omnivore","epifaunal","1","hemocyanin","buffered"
