taxon_resource,taxon_consumer
Paraglobivalvulina_gracilis,Eotiaris_teseroensis
Paraglobivalvulina_gracilis,Wannerispira_sp
Paraglobivalvulina_gracilis,Warthia_vaceki
Paraglobivalvulina_mira,Echinoidea_gen_et_sp_indet
Paraglobivalvulina_mira,Eotiaris_teseroensis
Paraglobivalvulina_mira,Wannerispira_sp
Paraglobivalvulina_mira,Warthia_vaceki
Pilammina_sp_1,Echinoidea_gen_et_sp_indet
Pilammina_sp_1,Eotiaris_teseroensis
Pilammina_sp_1,Wannerispira_sp
Pilammina_sp_1,Warthia_vaceki
Polarisella_sp,Echinoidea_gen_et_sp_indet
Polarisella_sp,Eotiaris_teseroensis
Polarisella_sp,Wannerispira_sp
Polarisella_sp,Warthia_vaceki
Postcladella_kalhori,Echinoidea_gen_et_sp_indet
Postcladella_kalhori,Eotiaris_teseroensis
Postcladella_kalhori,Wannerispira_sp
Postcladella_kalhori,Warthia_vaceki
Rectoglomospira_sp,Echinoidea_gen_et_sp_indet
Rectoglomospira_sp,Eotiaris_teseroensis
Rectoglomospira_sp,Wannerispira_sp
Rectoglomospira_sp,Warthia_vaceki
Rectostipulina_quadrata,Echinoidea_gen_et_sp_indet
Rectostipulina_quadrata,Eotiaris_teseroensis
Rectostipulina_quadrata,Wannerispira_sp
Rectostipulina_quadrata,Warthia_vaceki
Robuloides_gourisiensis,Echinoidea_gen_et_sp_indet
Robuloides_gourisiensis,Eotiaris_teseroensis
Robuloides_gourisiensis,Wannerispira_sp
Robuloides_gourisiensis,Warthia_vaceki
Robuloides_lens,Echinoidea_gen_et_sp_indet
Robuloides_lens,Eotiaris_teseroensis
Robuloides_lens,Wannerispira_sp
Robuloides_lens,Warthia_vaceki
Sargentina_postacuta,Echinoidea_gen_et_sp_indet
Sargentina_postacuta,Eotiaris_teseroensis
Sargentina_postacuta,Wannerispira_sp
Sargentina_postacuta,Warthia_vaceki
Semimeandrospira_cf_karnica,Echinoidea_gen_et_sp_indet
Semimeandrospira_cf_karnica,Eotiaris_teseroensis
Semimeandrospira_cf_karnica,Wannerispira_sp
Semimeandrospira_cf_karnica,Warthia_vaceki
Spirigerella_teseroi,Archaeolepidotus_leonardii
Spirigerella_teseroi,Echinoidea_gen_et_sp_indet
Spirigerella_teseroi,Eotiaris_teseroensis
Spirigerella_teseroi,Wannerispira_sp
Spirigerella_teseroi,Warthia_vaceki
Teserina_nerii,Archaeolepidotus_leonardii
Wannerispira_sp,Archaeolepidotus_leonardii
Wannerispira_sp,Echinoidea_gen_et_sp_indet
Wannerispira_sp,Eotiaris_teseroensis
Wannerispira_sp,Warthia_vaceki
Warthia_vaceki,Archaeolepidotus_leonardii
Warthia_vaceki,Echinoidea_gen_et_sp_indet
Warthia_vaceki,Eotiaris_teseroensis
Warthia_vaceki,Wannerispira_sp
Xaniognathus_gradatus,Archaeolepidotus_leonardii
